__time,/external_wrenches/force/x,/external_wrenches/force/y,/external_wrenches/force/z,/external_wrenches/torque/x,/external_wrenches/torque/y,/external_wrenches/torque/z,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781285300.377597,,,,,,,0.129065743,1.517731106,0.000000000,,,,,
1781285300.377796,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.377812,,,,,,,,,,1781285300.377228975,0.785681899,0.014001366,0.681490842,-0.726558160
1781285300.378482,,,,,,,0.137432947,1.490354924,0.000000000,,,,,
1781285300.378742,,,,,,,,,,1781285300.378172398,0.785695404,0.014132701,0.680797882,-0.725133931
1781285300.379059,,,,,,,0.153599735,0.936487320,0.000000000,,,,,
1781285300.379462,,,,,,,,,,1781285300.378906012,0.785709090,0.014279914,0.680103761,-0.724236386
1781285300.379679,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.380043,,,,,,,0.142211631,1.066414993,0.000000000,,,,,
1781285300.380216,,,,,,,,,,1781285300.379832506,0.785719948,0.014387234,0.679557821,-0.723431612
1781285300.380716,,,,,,,0.145945657,1.044740981,0.000000000,,,,,
1781285300.381037,,,,,,,,,,1781285300.380495787,0.785730468,0.014493172,0.679033252,-0.722673263
1781285300.381503,,,,,,,0.127866091,1.253316730,0.000000000,,,,,
1781285300.381594,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.381619,,,,,,,,,,1781285300.381318808,0.785743447,0.014606791,0.678392092,-0.721559597
1781285300.383035,,,,,,,0.125499198,1.311309595,0.000000000,,,,,
1781285300.383672,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.383798,,,,,,,,,,1781285300.382434845,0.785759851,0.014746392,0.677591078,-0.720100944
1781285300.383968,,,,,,,0.131740722,1.275870219,0.000000000,,,,,
1781285300.384583,,,,,,,,,,1781285300.383888006,0.785780502,0.014928638,0.676597352,-0.718335940
1781285300.384910,,,,,,,,,,1781285300.384413242,0.785790505,0.015011333,0.676119320,-0.717401332
1781285300.384915,,,,,,,0.124102701,1.402602254,0.000000000,,,,,
1781285300.385588,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.385666,,,,,,,0.123553825,1.431593947,0.000000000,,,,,
1781285300.385997,,,,,,,,,,1781285300.385546684,0.785806191,0.015139343,0.675377577,-0.715918097
1781285300.387454,,,,,,,0.124146057,1.451435474,0.000000000,,,,,
1781285300.387613,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.387620,,,,,,,,,,1781285300.386734247,0.785821836,0.015266571,0.674645409,-0.714430627
1781285300.387633,,,,,,,,,,1781285300.387340069,0.785834598,0.015374702,0.674053385,-0.713254434
1781285300.388241,,,,,,,0.130272851,1.417044319,0.000000000,,,,,
1781285300.389047,,,,,,,0.120426464,1.540942496,0.000000000,,,,,
1781285300.389580,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.389588,,,,,,,,,,1781285300.388862848,0.785853608,0.015522192,0.673182152,-0.711367195
1781285300.389592,,,,,,,0.128042877,1.498480642,0.000000000,,,,,
1781285300.389846,,,,,,,,,,1781285300.389402628,0.785867280,0.015634162,0.672561228,-0.710056817
1781285300.391477,,,,,,,0.122611279,1.579843282,0.000000000,,,,,
1781285300.391542,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.391556,,,,,,,,,,1781285300.390661001,0.785883102,0.015757275,0.671849855,-0.708470503
1781285300.391562,,,,,,,0.118550878,1.641646252,0.000000000,,,,,
1781285300.391832,,,,,,,,,,1781285300.391426086,0.785897290,0.015863312,0.671217487,-0.707002155
1781285300.392940,,,,,,,0.124352708,1.609537372,0.000000000,,,,,
1781285300.394043,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.394052,,,,,,,,,,1781285300.392762423,0.785915685,0.016006217,0.670407130,-0.705152485
1781285300.394058,,,,,,,0.131699150,1.568822027,0.000000000,,,,,
1781285300.394101,,,,,,,,,,1781285300.393505812,0.785931205,0.016132917,0.669730199,-0.703643218
1781285300.394815,,,,,,,0.118396983,1.717776235,0.000000000,,,,,
1781285300.395474,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.395481,,,,,,,,,,1781285300.394603252,0.785944762,0.016231804,0.669143698,-0.702208492
1781285300.395485,,,,,,,0.113008126,1.784387272,0.000000000,,,,,
1781285300.395680,,,,,,,,,,1781285300.395400286,0.785962523,0.016354530,0.668383212,-0.700270667
1781285300.396938,,,,,,,0.111666169,1.825112247,0.000000000,,,,,
1781285300.397076,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.397093,,,,,,,,,,1781285300.396718502,0.785980855,0.016478756,0.667606438,-0.698240277
1781285300.397638,,,,,,,0.108398478,1.874628731,0.000000000,,,,,
1781285300.397746,,,,,,,,,,1781285300.397410870,0.785996011,0.016577854,0.666969670,-0.696526482
1781285300.398877,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.398890,,,,,,,0.114907500,1.839179219,0.000000000,,,,,
1781285300.398921,,,,,,,,,,1781285300.398520231,0.786013165,0.016695918,0.666255950,-0.694636777
1781285300.399622,,,,,,,0.122115771,1.799867318,0.000000000,,,,,
1781285300.404792,,,,,,,0.128932336,1.762628182,0.000000000,,,,,
1781285300.404818,,,,,,,,,,1781285300.399425983,0.786029779,0.016816564,0.665571435,-0.692858584
1781285300.404822,,,,,,,0.116831560,1.897062930,0.000000000,,,,,
1781285300.404835,,,,,,,0.130102440,1.825106354,0.000000000,,,,,
1781285300.404870,,,,,,,,,,1781285300.402316332,0.786062762,0.017065745,0.664238964,-0.689452039
1781285300.404886,,,,,,,,,,1781285300.403461695,0.786094758,0.017282052,0.662968987,-0.685939739
1781285300.404897,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285300.405239,,,,,,,,,,1781285300.404828787,0.786105682,0.017363900,0.662538182,-0.684791557
1781285300.405617,,,,,,,0.134477535,1.801292049,0.000000000,,,,,
1781285300.405727,,,,,,,,,,1781285300.405367374,0.786133709,0.017578311,0.661450928,-0.681919572
1781285300.406883,,,,,,,0.116967566,1.966074890,0.000000000,,,,,
1781285300.407015,27.200000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
