__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781282265.490687,560.123925263,-1727.167154231,0.000000000,,,,,
1781282265.490695,,,,1781282265.490260839,42.304490270,28.630446323,-231.945039406,-110.561652694
1781282265.491120,635.940939842,-1988.164194189,0.000000000,,,,,
1781282265.491430,,,,1781282265.491022587,42.324878413,29.076363659,-232.023541987,-111.955739509
1781282265.492815,495.705768297,-1591.162215882,0.000000000,,,,,
1781282265.492826,,,,1781282265.492337942,42.358920647,29.645586062,-232.154199667,-113.782882220
1781282265.493813,181.148845233,-653.774055288,0.000000000,,,,,
1781282265.493975,,,,1781282265.493260145,42.390328340,29.836275655,-232.274699719,-114.471089247
1781282265.494405,212.903317174,-771.822274099,0.000000000,,,,,
1781282265.494598,,,,1781282265.494063377,42.418858626,30.038489309,-232.384119593,-115.204159097
1781282265.496216,-153.321250528,361.345998179,0.000000000,,,,,
1781282265.496284,,,,1781282265.495675802,42.453721002,29.859479390,-232.518133403,-114.782270299
1781282265.498031,24.912152491,-197.069754538,0.000000000,,,,,
1781282265.499470,,,,1781282265.497905731,42.519325016,29.914113708,-232.770807815,-115.214459840
1781282265.500158,-803.134703524,2330.893282455,0.000000000,,,,,
1781282265.501016,,,,1781282265.499842882,42.580677648,28.164597196,-233.010725710,-110.136935149
1781282265.501249,-834.266408049,2288.868660716,0.000000000,,,,,
1781282265.502087,,,,1781282265.501101971,42.616613476,27.056545409,-233.152969157,-107.096917015
1781282265.502230,-969.232873650,2558.598491715,0.000000000,,,,,
1781282265.502373,,,,1781282265.501931429,42.637569964,26.283759562,-233.236732812,-105.056902942
1781282265.503020,-1004.200423789,2563.438088104,0.000000000,,,,,
1781282265.503982,-682.334441524,1686.041792940,0.000000000,,,,,
1781282265.504014,,,,1781282265.502536535,42.656458688,25.541111172,-233.313024802,-103.161132811
1781282265.504268,,,,1781282265.503451586,42.678988658,24.924325189,-233.404898099,-101.637060623
1781282265.505727,-715.986785398,1685.163954321,0.000000000,,,,,
1781282265.505736,,,,1781282265.504788876,42.701920429,24.247180687,-233.499514066,-100.043316813
1781282265.507109,-731.868843352,1618.988418381,0.000000000,,,,,
1781282265.507120,,,,1781282265.506175518,42.737697504,23.114373598,-233.650485186,-97.537401208
